ID_CLIENT,CODE_CLIENT,CIN_MF,TYPE_PERSONNE,NOM,PRENOM,ADRESSE,CODE_POSTAL,VILLE,SEXE,DATE_NAISSANCE,NATP,EMAIL,AGE_UNKNOWN
1,MF110048,MF608149,M,Mansouri,,144 Rue El Jazira,3000,Sfax,,1900-01-01,R,63@gmail.com,1
2,85886408,14142053,P,Kilani,  Hatem  ,58 Rue El Jazira,2200,Tozeur,F,1994-06-09,C,hatem15@gmail.com,0
3,59239353,82751830,P,Tlili,Hedi,140 Rue de la Liberté,9000,Beja,M,1972-03-17,P,,0
4,MF956401,MF191208,M,Oueslati,,199 Rue de la Liberté,8000,Nabeul,,1900-01-01,C,89@gmail.com,1
5,28687800,37732020,P,Aissaoui,Lobna,137 Rue Mohamed V,2070,La Marsa,M,1979-01-14,C,lobna38@gmail.com,0
6,65243509,17957216,P,Tlili,Walid,34 Rue de la Liberté,7000,Bizerte,F,1972-03-17,C,walid87@gmail.com,0
7,60354777,70665302,P,Gharbi,Karim,104 Rue El Jazira,8000,Nabeul,F,1990-10-17,C,karim42@gmail.com,0
8,71532017,95206855,P,Hajji,Hedi,137 Rue du 7 Novembre,4000,Sousse,F,1969-01-02,P,hedi42@gmail.com,0
9,MF693643,MF993829,M,Chatti,,175 Rue Habib Bourguiba,9000,Beja,,1900-01-01,C,59@gmail.com,1
10,67418250,37154689,P,Fakhfakh,Nadia,78 Rue de la Liberté,5100,Mahdia,F,1958-05-17,C,nadia33@gmail.com,0
11,93967184,51004756,P,Hmida,Tarek,24 Rue Habib Bourguiba,3100,,F,1956-12-28,C,,0
12,56113741,26185823,P,Hmida,Hatem,19 Rue de la Liberté,1000,Tunis,M,1959-04-05,C,,0
13,MF889743,MF239613,M,Gharbi,,18 Rue El Jazira,2080,Ariana,,1900-01-01,P,22@gmail.com,1
14,92688322,69375757,P,Nefzi,Ines,193 Rue Habib Bourguiba,6000,Gabès,F,1981-07-16,R,ines41@gmail.com,0
15,MF360221,MF680278,M,Ferchichi,,73 Rue Habib Bourguiba,8000,Nabeul,,1900-01-01,C,39@gmail.com,1
16,49666982,96727439,P,Mansouri,Walid,127 Rue du 7 Novembre,5000,Monastir,F,1956-05-15,P,walid2@gmail.com,0
17,MF979727,MF695990,M,Fakhfakh,,45 Rue du 7 Novembre,8050,Hammamet,,1900-01-01,C,3@gmail.com,1
18,18115992,63415303,P,Ben Ali,Khaled,107 Rue du 7 Novembre,5000,Monastir,M,1998-02-20,C,khaled20@gmail.com,0
19,30854365,81993070,P,Daoud,Ali,167 Rue Habib Bourguiba,8100,Jendouba,F,1971-05-30,R,,0
20,17385816,51512209,P,Ayari,Fatma,4 Rue de la Liberté,5100,Mahdia,M,1994-07-15,C,fatma67@gmail.com,0
21,27036337,46072958,P,Kilani,Emna,86 Rue du 7 Novembre,8000,Nabeul,M,1973-08-04,C,emna74@gmail.com,0
22,77056519,86086168,P,Kouki,Hatem,147 Rue Habib Bourguiba,8100,Jendouba,M,1953-12-14,C,hatem2@gmail.com,0
23,34019729,14746418,P,Kouki,Wafa,108 Rue de la Liberté,2080,Ariana,F,1978-09-14,R,,0
