ID_AGENT,CODE_AGENT,NOM_AGENT,PRENOM_AGENT,TEL_AGENT,EMAIL_AGENT,GROUPE_AGENT,LOCALITE_AGENT,LATITUDE_AGENT,LONGITUDE_AGENT,ETAT_AGENT,TYPE_AGENT
1,AG0001,Ben Ali,Emna,+216 89 191161,emna.benali@maghrebia.com.tn,Réseau Direct,Bizerte,37.017878,9.731183,A,AG
2,AG0002,Mzoughi,Slim,+216 95 391704,slim.mzoughi@maghrebia.com.tn,Réseau Direct,Beja,35.155284,9.295796,A,BA
3,AG0003,Mzoughi,Hedi,+216 64 733052,hedi.mzoughi@maghrebia.com.tn,Réseau Direct,Gabès,34.037839,10.121737,R,MA
4,AG0004,Hamrouni,Amel,+216 93 301629,amel.hamrouni@maghrebia.com.tn,Réseau Direct,Sousse,35.896758,10.763841,R,CO
5,AG0005,Ben Salah,Khaled,+216 65 319684,khaled.bensalah@maghrebia.com.tn,Réseau Direct,Bizerte,37.365479,9.702683,A,CO
6,AG0006,Ben Salah,Khaled,+216 61 983794,khaled.bensalah@maghrebia.com.tn,Réseau Direct,Mahdia,34.837429,9.21926,A,BA
7,AG0007,Mzoughi,Karim,+216 70 774079,karim.mzoughi@maghrebia.com.tn,Bancassurance,Sousse,35.583778,10.746993,A,MA
8,AG0008,Ben Salah,Wafa,+216 31 892495,,Réseau Direct,Siliana,34.791705,9.295989,A,AG
9,AG0009,Ben Salah,Lobna,+216 21 813328,lobna.bensalah@maghrebia.com.tn,Mandataire,Ariana,35.150527,9.661159,A,BA
10,,Belhaj,Hatem,+216 84 898975,hatem.belhaj@maghrebia.com.tn,Réseau Direct,La Marsa,35.222311,9.379067,A,CO
11,AG0011,Trabelsi,Hedi,+216 20 728038,hedi.trabelsi@maghrebia.com.tn,Réseau Direct,Gabès,33.667121,10.017788,R,BA
12,AG0012,Hamdi,Rania,+216 82 955662,,Mandataire,Gafsa,35.159501,9.277035,A,CO
